time,1st_sensor,2nd_sensor,3rd_sensor,4th_sensor,recordingID
2021-09-30T10:35:21.368Z,26,60,84,14,3
2021-09-30T10:35:21.779Z,26,62,86,18,3
2021-09-30T10:35:22.391Z,28,78,78,14,3
2021-09-30T10:35:22.816Z,26,58,94,10,3
2021-09-30T10:35:23.415Z,28,50,100,12,3
2021-09-30T10:35:24.028Z,28,58,94,14,3
2021-09-30T10:35:25.053Z,24,44,92,18,3
2021-09-30T10:35:25.667Z,30,252,132,24,3
2021-09-30T10:35:26.079Z,28,262,182,22,3
2021-09-30T10:35:26.688Z,26,152,184,26,3
2021-09-30T10:35:27.101Z,28,212,138,20,3
2021-09-30T10:35:28.327Z,424,220,156,668,3
2021-09-30T10:35:28.735Z,720,346,200,470,3
2021-09-30T10:35:29.369Z,242,232,202,524,3
2021-09-30T10:35:29.761Z,282,130,138,204,3
2021-09-30T10:35:30.376Z,1024,368,160,392,3
2021-09-30T10:35:30.783Z,346,200,138,810,3
2021-09-30T10:35:31.396Z,148,416,196,380,3
2021-09-30T10:35:32.010Z,376,392,176,262,3
2021-09-30T10:35:33.033Z,378,164,178,308,3
2021-09-30T10:35:34.072Z,354,278,222,236,3
2021-09-30T10:35:35.081Z,160,354,200,532,3
2021-09-30T10:35:35.693Z,460,332,182,386,3
2021-09-30T10:35:36.103Z,610,116,224,230,3
2021-09-30T10:35:37.131Z,246,80,116,664,3
2021-09-30T10:35:37.744Z,380,144,98,774,3
2021-09-30T10:35:38.150Z,824,48,106,298,3
2021-09-30T10:35:39.377Z,204,54,88,116,3
2021-09-30T10:35:40.405Z,46,50,84,64,3
2021-09-30T10:35:40.811Z,36,46,98,124,3
2021-09-30T10:35:41.427Z,26,44,88,242,3
2021-09-30T10:35:42.037Z,28,42,98,150,3
2021-09-30T10:35:43.062Z,34,48,104,62,3
2021-09-30T10:35:43.985Z,28,40,100,28,3
2021-09-30T10:35:44.597Z,26,44,90,22,3
2021-09-30T10:35:45.017Z,28,84,100,68,3
2021-09-30T10:35:46.234Z,22,196,102,20,3
2021-09-30T10:35:46.644Z,26,324,106,16,3
2021-09-30T10:35:47.259Z,26,204,96,14,3
2021-09-30T10:35:47.776Z,84,236,130,36,3
2021-09-30T10:35:48.284Z,26,314,166,58,3
2021-09-30T10:35:48.899Z,54,200,176,584,3
2021-09-30T10:35:49.321Z,336,230,204,740,3
2021-09-30T10:35:50.431Z,412,342,164,744,3
2021-09-30T10:35:51.458Z,392,302,228,836,3
2021-09-30T10:35:52.068Z,414,232,120,638,3
2021-09-30T10:35:53.092Z,664,204,198,284,3
2021-09-30T10:35:53.605Z,1024,260,160,508,3
2021-09-30T10:35:54.118Z,566,208,150,516,3
2021-09-30T10:35:54.727Z,116,168,150,480,3
2021-09-30T10:35:55.141Z,954,230,196,256,3
2021-09-30T10:35:56.163Z,1024,324,164,930,3
2021-09-30T10:35:56.778Z,152,292,148,952,3
2021-09-30T10:35:57.187Z,222,90,164,466,3
2021-09-30T10:35:57.803Z,572,80,170,782,3
2021-09-30T10:35:58.412Z,350,78,104,728,3
2021-09-30T10:35:59.435Z,56,46,130,166,3
2021-09-30T10:35:59.846Z,34,54,116,148,3
2021-09-30T10:36:00.460Z,28,56,92,46,3
2021-09-30T10:36:01.074Z,30,50,100,400,3
2021-09-30T10:36:02.095Z,26,38,102,142,3
2021-09-30T10:36:03.119Z,30,42,98,24,3
2021-09-30T10:36:04.245Z,24,50,88,22,3
2021-09-30T10:36:04.762Z,26,54,106,92,3
2021-09-30T10:36:05.371Z,28,44,84,82,3
2021-09-30T10:36:05.780Z,26,42,82,68,3
2021-09-30T10:36:06.393Z,28,36,84,104,3
2021-09-30T10:36:06.806Z,32,48,86,136,3
2021-09-30T10:36:07.418Z,28,218,84,128,3
2021-09-30T10:36:08.443Z,28,254,86,114,3
2021-09-30T10:36:09.055Z,28,162,84,120,3
2021-09-30T10:36:10.082Z,152,252,106,770,3
2021-09-30T10:36:11.104Z,826,350,162,570,3
2021-09-30T10:36:12.129Z,606,322,232,202,3
2021-09-30T10:36:12.742Z,688,196,132,520,3
2021-09-30T10:36:13.153Z,390,310,114,396,3
2021-09-30T10:36:14.174Z,564,180,212,398,3
2021-09-30T10:36:14.786Z,1024,120,164,342,3
2021-09-30T10:36:15.401Z,624,172,170,802,3
2021-09-30T10:36:15.813Z,1024,306,156,134,3
2021-09-30T10:36:16.422Z,170,244,210,222,3
2021-09-30T10:36:16.833Z,146,142,146,638,3
2021-09-30T10:36:17.446Z,626,312,212,1024,3
2021-09-30T10:36:18.061Z,480,274,164,350,3
2021-09-30T10:36:19.089Z,364,222,162,346,3
2021-09-30T10:36:20.108Z,834,96,216,672,3
2021-09-30T10:36:21.134Z,376,52,192,76,3
2021-09-30T10:36:22.154Z,1024,52,162,16,3
2021-09-30T10:36:23.178Z,54,64,124,36,3
2021-09-30T10:40:39.219Z,30,64,110,36,3
2021-09-30T10:40:40.236Z,28,46,110,10,3
2021-09-30T10:40:41.261Z,30,42,82,10,3
2021-09-30T10:40:42.386Z,30,42,82,14,3
2021-09-30T10:40:43.001Z,28,44,80,4,3
2021-09-30T10:40:43.512Z,28,46,104,16,3
2021-09-30T10:40:57.122Z,28,46,82,16,3
2021-09-30T10:40:58.248Z,38,54,82,10,3
